Kreis;Alter;Auslaenderanteil;Arbeitslosenrate;Bip;Miete;BevEntw
Dessau-Roßlau, Stadt;49,3;4,1;10,2;27300;5,37;-17,3
Altenburger Land;49,3;2,5;9,2;19200;4,84;-18,6
Suhl, Stadt;49,0;7,9;6,4;28500;5,36;-22,1
Mansfeld-Südharz;48,9;2,5;12,4;18300;4,87;-18,9
Greiz;48,8;2,0;6,7;19800;4,61;-17,9
Prignitz;48,7;2,8;10,6;22900;4,72;-18,4
Oberspreewald-Lausitz;48,7;2,4;10,5;23000;5,08;-21,7
Vogtlandkreis;48,6;2,5;6,5;22400;4,35;-14,8
Elbe-Elster;48,6;1,9;9,4;21400;4,83;-19,8
Spree-Neiße;48,6;2,7;8,4;35300;4,78;-19,9
Saalfeld-Rudolstadt;48,6;2,2;6,7;24000;5,24;-16,8
Wittenberg;48,5;2,8;9,5;22900;4,85;-18,1
Görlitz;48,4;3,5;10,1;24700;4,47;-18,8
Sonneberg;48,3;2,8;3,9;25500;4,99;-15,8
Burgenlandkreis;48,2;4,1;9,6;21800;4,90;-16,6
Zwickau;48,1;2,6;6,6;27100;4,89;-13,9
Osterode am Harz;48,1;5,2;6,3;28000;4,66;-13,4
Anhalt-Bitterfeld;48,1;3,2;9,6;25100;5,17;-19,7
Uckermark;48,1;3,2;13,9;23900;5,06;-19,1
Salzlandkreis;48,0;2,9;10,5;22200;4,69;-19,1
Gera, Stadt;47,9;4,8;9,9;26000;4,77;-13,8
Erzgebirgskreis;47,9;2,0;6,3;20400;4,73;-16,2
Harz;47,7;3,5;7,2;21200;5,07;-14,5
Kyffhäuserkreis;47,7;2,4;9,9;19200;4,88;-17,8
Mittelsachsen;47,6;2,8;6,6;23900;4,93;-14,8
Brandenburg an der Havel, Stadt;47,5;3,5;10,9;28100;5,40;-8,6
Saale-Orla-Kreis;47,4;2,7;5,9;26000;5,08;-15,2
Wunsiedel i.Fichtelgebirge;47,4;6,2;5,0;29900;4,26;-14,8
Bautzen;47,4;2,0;7,0;23100;5,15;-15,2
Goslar;47,3;7,4;7,6;25300;5,05;-10,8
Jerichower Land;47,3;3,1;9,1;23100;4,97;-14,6
Ostholstein;47,2;4,4;5,8;22600;7,25;+0,1
Leipzig;47,2;2,0;6,6;23500;4,99;-10,4
Meißen;47,2;2,7;7,3;24600;5,41;-10,1
Ostprignitz-Ruppin;47,2;2,4;8,9;22900;5,25;-11,3
Vorpommern-Rügen;47,2;3,1;11,4;20700;6,14;-11,0
Schmalkalden-Meiningen;47,2;2,5;5,0;24400;5,25;-12,7
Nordsachsen;47,1;2,8;8,5;23900;4,96;-13,3
Mecklenburgische Seenplatte;46,9;2,6;12,1;23500;5,12;-14,5
Saalekreis;46,9;2,9;8,4;29500;5,07;-13,9
Sächsische Schweiz-Osterzgebirge;46,9;2,7;6,5;20400;5,40;-8,5
Baden-Baden;46,9;17,0;5,6;50400;8,37;+4,7
Oder-Spree;46,8;5,6;8,0;22500;6,16;-5,9
Hof;46,8;4,7;3,5;29600;4,42;-11,4
Stendal;46,8;3,5;11,6;21200;4,82;-17,5
Lüchow-Dannenberg;46,7;7,6;8,0;22100;4,25;-3,8
Pirmasens, Stadt;46,6;7,8;12,7;35300;4,36;-11,9
Nordhausen;46,6;3,4;8,0;23000;4,99;-12,3
Frankfurt (Oder), Stadt;46,6;7,4;10,0;32800;5,48;-18,9
Hildburghausen;46,6;1,9;4,4;20800;5,15;-12,4
Werra-Meißner-Kreis;46,6;5,4;5,9;23700;4,71;-11,1
Wartburgkreis;46,6;2,4;5,1;23500;5,01;-12,7
Märkisch-Oderland;46,6;2,6;7,8;18300;6,08;+2,0
Südwestpfalz;46,5;3,7;4,5;15000;4,86;-8,4
Holzminden;46,4;5,9;7,2;26700;4,34;-12,3
Ilm-Kreis;46,3;4,4;6,8;24800;5,81;-9,4
Eisenach, Stadt;46,3;5,5;7,7;38300;5,61;-3,5
St. Wendel;46,3;4,4;3,9;23100;5,70;-6,7
Northeim;46,3;5,5;6,2;25600;4,84;-10,4
Dahme-Spreewald;46,3;3,8;5,6;32200;6,98;+4,0
Hameln-Pyrmont;46,3;8,3;7,1;31600;5,14;-7,9
Vorpommern-Greifswald;46,2;3,8;11,7;20700;6,26;-11,4
Saarpfalz-Kreis;46,2;7,7;5,7;37200;6,21;-7,0
Kronach;46,2;3,9;3,5;29000;5,30;-10,2
Neunkirchen;46,2;7,6;8,4;23900;5,47;-8,9
Altmarkkreis Salzwedel;46,2;3,3;8,2;21900;4,54;-14,5
Plön;46,2;3,7;5,4;19000;6,76;-1,1
Chemnitz, Stadt;46,2;6,9;8,4;32100;4,99;-3,6
Gotha;46,2;4,8;6,4;24600;5,31;-7,5
Landkreis Rostock;46,1;2,6;7,5;21900;5,91;-6,8
Sömmerda;46,1;2,1;6,8;20700;5,17;-12,6
Barnim;46,1;3,1;7,1;19200;6,41;+5,5
Ludwigslust-Parchim;46,1;4,3;6,7;20500;5,09;-10,4
Börde;46,1;2,7;7,1;25800;4,96;-12,3
Cottbus, Stadt;46,1;5,1;9,4;30600;5,51;-11,7
Uelzen;46,0;4,8;6,1;24500;5,37;-4,1
Wilhelmshaven, Stadt;46,0;6,1;11,9;40000;4,96;-8,7
Birkenfeld;46,0;5,9;6,3;26900;4,54;-10,6
Saale-Holzland-Kreis;46,0;5,5;5,6;21400;5,32;-7,4
Friesland;45,9;3,6;5,2;22800;5,69;-2,3
Schaumburg;45,9;6,4;6,3;22400;5,21;-5,1
Unstrut-Hainich-Kreis;45,9;3,6;9,1;21500;5,06;-11,0
Kassel;45,9;5,8;4,3;27200;5,70;-3,8
Kulmbach;45,9;3,7;4,1;31100;5,36;-7,9
Ahrweiler;45,8;7,9;3,9;23200;6,30;-0,8
Vogelsbergkreis;45,8;6,2;4,2;24000;4,77;-9,3
Bad Dürkheim;45,8;7,4;4,0;20200;6,66;-0,7
Kusel;45,7;4,9;4,6;15400;4,88;-10,1
Helmstedt;45,7;5,3;6,8;19700;5,47;-8,0
Weimarer Land;45,7;2,8;5,2;22300;5,67;-9,3
Saarlouis;45,7;8,8;5,3;31200;6,08;-5,8
Bad Kissingen;45,7;4,5;3,8;27400;5,06;-5,6
Cuxhaven;45,7;5,6;5,8;20400;5,39;-3,0
Vulkaneifel;45,7;6,1;4,5;28300;4,86;-6,2
Cochem-Zell;45,6;6,4;3,8;26900;4,85;-5,7
Hof, Stadt;45,6;12,5;7,0;40800;4,54;-10,8
