,0
0,4237.12655
1,9644.2525
2,4719.52405
3,21984.47061
4,5693.4305
5,7419.4779
6,10959.6947
7,1607.5101
8,3161.454
9,5400.9805
10,40932.4295
11,4894.7533
12,11931.12525
13,8671.19125
14,2205.9808
15,3537.703
16,9058.7303
17,14478.33015
18,4646.759
19,41661.602
20,47291.055
21,7626.993
22,3956.07145
23,17560.37975
24,29141.3603
25,15820.699
26,2902.9065
27,28340.18885
28,17178.6824
29,24603.04837
30,18648.4217
31,12629.8967
32,17361.7661
33,1625.43375
34,4243.59005
35,2304.0022
36,11396.9002
37,3260.199
38,4518.82625
39,4544.2348
40,10923.9332
41,15828.82173
42,44501.3982
43,12244.531
44,8703.456
45,23082.95533
46,4504.6624
47,8310.83915
48,14349.8544
49,33471.97189
50,8125.7845
51,11743.9341
52,11299.343
53,9625.92
54,4753.6368
55,14418.2804
56,27724.28875
57,9617.66245
58,1263.249
59,5383.536
60,6373.55735
61,4239.89265
62,6435.6237
63,6877.9801
64,2217.6012
65,8968.33
66,48675.5177
67,5028.1466
68,13919.8229
69,6748.5912
70,8556.907
71,13217.0945
72,12730.9996
73,35585.576
74,3704.3545
75,39727.614
76,10106.13425
77,13844.506
78,12648.7034
79,11735.87905
80,4686.3887
81,1621.8827
82,22478.6
83,2020.177
84,10579.711
85,43896.3763
86,38126.2465
87,10796.35025
88,7345.084
89,11455.28
90,63770.42801
91,3935.1799
92,23244.7902
93,4435.0942
94,3847.674
95,6272.4772
96,1759.338
97,13831.1152
98,24869.8368
99,11272.33139
100,5649.715
101,7731.4271
102,4349.462
103,3757.8448
104,14426.07385
105,12233.828
106,11411.685
107,4562.8421
108,12105.32
109,36837.467
110,22462.04375
111,17748.5062
112,32734.1863
113,17085.2676
114,3981.9768
115,38511.6283
116,10601.63225
117,4667.60765
118,18223.4512
119,6940.90985
120,27346.04207
121,35491.64
122,12629.1656
123,19539.243
124,3925.7582
125,25656.57526
126,4751.07
127,3208.787
128,3201.24515
129,8930.93455
130,8017.06115
131,11150.78
132,34838.873
133,6338.0756
134,44641.1974
135,33900.653
136,4134.08245
137,3579.8287
138,5012.471
139,10601.412
140,1242.26
141,12479.70895
142,5972.378
143,3989.841
144,8688.85885
145,5699.8375
146,2597.779
147,5836.5204
148,11658.11505
149,8944.1151
150,9620.3307
151,18246.4955
152,3353.4703
153,8026.6666
154,7640.3092
155,7222.78625
156,7726.854
157,7441.501
158,8059.6791
159,47462.894
160,49577.6624
161,11362.755
162,3561.8889
163,13607.36875
164,9487.6442
165,8116.26885
166,4779.6023
167,6796.86325
168,2639.0429
169,24059.68019
170,24535.69855
171,1631.6683
172,4915.05985
173,1909.52745
174,4877.98105
175,2331.519
176,12979.358
177,9500.57305
178,6610.1097
179,26018.95052
180,39774.2763
181,2104.1134
182,3046.062
183,14313.8463
184,6875.961
185,1704.70015
186,1712.227
187,19515.5416
188,17496.306
189,1826.843
190,9863.4718
191,4571.41305
192,2566.4707
193,9144.565
194,1615.7667
195,3866.8552
196,7243.8136
197,3277.161
198,12268.63225
199,36580.28216
200,2198.18985
201,20745.9891
202,4463.2051
203,1748.774
204,13041.921
205,6664.68595
206,41676.0811
207,6746.7425
208,4795.6568
209,3645.0894
210,11085.5868
211,10602.385
212,8068.185
213,6414.178
214,8233.0975
215,2136.88225
216,6985.50695
217,46599.1084
218,15019.76005
219,16455.70785
220,9249.4952
221,13981.85035
222,6360.9936
223,3410.324
224,2680.9493
225,5116.5004
226,46661.4424
227,13224.693
228,10848.1343
229,4949.7587
230,12592.5345
231,28468.91901
232,5976.8311
233,7624.63
234,7418.522
235,1837.2819
236,9391.346
237,20296.86345
238,8083.9198
239,7935.29115
240,9193.8385
241,11938.25595
242,13429.0354
243,24476.47851
244,13390.559
245,11552.904
246,10493.9458
247,12029.2867
248,21595.38229
249,7173.35995
250,3056.3881
251,8211.1002
252,41919.097
253,1391.5287
254,46718.16325
255,12146.971
256,5245.2269
257,2803.69785
258,26109.32905
259,21232.18226
260,6198.7518
261,8280.6227
262,18963.17192
263,13457.9608
264,5910.944
265,11856.4115
266,10214.636
267,2801.2588
268,5472.449
269,8027.968
270,21771.3423
271,33475.81715
272,34254.05335
273,1121.8739
274,48885.13561
275,15230.32405
276,13415.0381
277,12485.8009
278,17663.1442
279,4234.927
280,6858.4796
281,12644.589
282,1906.35825
283,7345.7266
284,1972.95
285,1977.815
286,10806.839
287,1534.3045
288,1842.519
289,6652.5288
290,9283.562
291,5709.1644
292,37829.7242
293,36219.40545
294,16115.3045
295,1711.0268
296,4032.2407
297,3577.999
298,2459.7201
299,3176.2877
300,10594.50155
301,9447.25035
302,11013.7119
303,10976.24575
304,9850.432
305,4687.797
306,8124.4084
307,9991.03765
308,12981.3457
309,48517.56315
310,9101.798
311,39611.7577
312,10791.96
313,12829.4551
314,31620.00106
315,26467.09737
316,4320.41085
317,21659.9301
318,10325.206
319,4441.21315
320,25081.76784
321,12913.9924
322,14235.072
323,2927.0647
324,3392.9768
325,3353.284
326,36124.5737
327,42760.5022
328,8457.818
329,3972.9247
330,32108.66282
331,23568.272
332,14410.9321
333,12574.049
334,11264.541
335,2395.17155
336,21978.6769
337,7046.7222
338,28950.4692
339,7985.815
340,8347.1643
341,13616.3586
342,11165.41765
343,12032.326
