,0
0,7731.85785
1,30166.61817
2,7323.734819
3,11737.84884
4,1253.936
5,11881.358
6,14119.62
7,13725.47184
8,8615.3
9,2203.47185
10,10422.91665
11,43921.1837
12,6986.697
13,44423.803
14,24513.09126
15,3766.8838
16,9095.06825
17,44400.4064
18,20878.78443
19,2719.27975
20,36085.219
21,3693.428
22,12096.6512
23,9447.3824
24,8765.249
25,21797.0004
26,4670.64
27,28101.33305
28,1137.4697
29,4350.5144
30,4133.64165
31,37742.5757
32,2416.955
33,16069.08475
34,9301.89355
35,11848.141
36,14692.66935
37,10436.096
38,4454.40265
39,14394.39815
40,7153.5539
41,4500.33925
42,2166.732
43,6548.19505
44,11070.535
45,25992.82104
46,20709.02034
47,1815.8759
48,14001.1338
49,4561.1885
50,2534.39375
51,16138.76205
52,26926.5144
53,9264.797
54,42856.838
55,11253.421
56,1682.597
57,4415.1588
58,5227.98875
59,46151.1245
60,35595.5898
61,21098.55405
62,3554.203
63,7358.17565
64,11538.421
65,11674.13
66,2498.4144
67,6753.038
68,6406.4107
69,5729.0053
70,12347.172
71,10156.7832
72,17942.106
73,11945.1327
74,39722.7462
75,24520.264
76,22218.1149
77,20773.62775
78,45008.9555
79,26125.67477
80,6079.6715
81,12950.0712
82,6123.5688
83,6555.07035
84,2585.85065
85,1727.54
86,11326.71487
87,7337.748
88,5267.81815
89,6082.405
90,18838.70366
91,9724.53
92,1743.214
93,11482.63485
94,4189.1131
95,11879.10405
96,7209.4918
97,6402.29135
98,5855.9025
99,8605.3615
100,11436.73815
101,6112.35295
102,5354.07465
103,11353.2276
104,8428.0693
105,2775.19215
106,6933.24225
107,8964.06055
108,43753.33705
109,14988.432
110,1639.5631
111,62592.87309
112,5377.4578
113,1967.0227
114,24180.9335
115,3070.8087
116,11833.7823
117,19199.944
118,10713.644
119,3490.5491
120,10977.2063
121,11033.6617
122,5757.41345
123,2904.088
124,43578.9394
125,8551.347
126,3471.4096
127,2899.48935
128,9222.4026
129,2689.4954
130,7749.1564
131,14474.675
132,47928.03
133,9788.8659
134,9048.0273
135,6455.86265
136,25382.297
137,45702.02235
138,8442.667
139,12231.6136
140,8827.2099
141,15817.9857
142,1824.2854
143,5584.3057
144,12495.29085
145,3877.30425
146,19444.2658
147,7740.337
148,5312.16985
149,20984.0936
150,22493.65964
151,19442.3535
152,2211.13075
153,4149.736
154,8334.5896
155,5253.524
156,3500.6123
157,9225.2564
158,1704.5681
159,47269.854
160,10381.4787
161,16232.847
162,4005.4225
163,24915.22085
164,4074.4537
165,16586.49771
166,37133.8982
167,1635.73365
168,40904.1995
169,8277.523
170,41097.16175
171,9563.029
172,5152.134
173,10942.13205
174,10736.87075
175,2842.76075
176,23401.30575
177,11454.0215
178,9288.0267
179,4137.5227
180,30259.99556
181,10141.1362
182,41999.52
183,4340.4409
184,11884.04858
185,25309.489
186,10226.2842
187,13228.84695
188,1832.094
189,14133.03775
190,38998.546
191,21195.818
192,4934.705
193,7160.3303
194,1969.614
195,10965.446
196,36910.60803
197,5969.723
198,47496.49445
199,4462.7218
200,2527.81865
201,4564.19145
202,2850.68375
203,33732.6867
204,30063.58055
205,3167.45585
206,36950.2567
207,1135.9407
208,26140.3603
209,46889.2612
210,12333.828
211,38746.3551
212,20277.80751
213,6184.2994
214,1737.376
215,12265.5069
216,3943.5954
217,6666.243
218,12949.1554
219,7443.64305
220,39983.42595
221,1261.859
222,2020.5523
223,27218.43725
224,4931.647
225,5974.3847
226,2150.469
227,5272.1758
228,5327.40025
229,8539.671
230,8062.764
231,18972.495
232,10197.7722
233,14571.8908
234,6356.2707
235,7954.517
236,4449.462
237,5469.0066
238,19673.33573
239,45863.205
240,1634.5734
241,6250.435
242,10600.5483
243,3044.2133
244,28287.89766
245,42211.1382
246,9634.538
247,16577.7795
248,42560.4304
249,47305.305
250,5397.6167
251,2727.3951
252,3594.17085
253,6059.173
254,13747.87235
255,8269.044
256,6238.298
257,6551.7501
258,1880.07
259,9377.9047
260,3292.52985
261,11187.6567
262,19594.80965
263,17179.522
264,7281.5056
265,2741.948
266,7682.67
267,18218.16139
268,9748.9106
269,47055.5321
270,1632.03625
271,1131.5066
272,6593.5083
273,38282.7495
274,4618.0799
275,12222.8983
276,7441.053
277,7256.7231
278,55135.40209
279,7445.918
280,6282.235
281,12928.7911
282,32787.45859
283,3227.1211
284,1141.4451
285,4922.9159
286,21880.82
287,36307.7983
288,41034.2214
289,6313.759
290,5425.02335
291,10072.05505
292,9182.17
293,36197.699
294,13393.756
295,7729.64575
296,27533.9129
297,44260.7499
298,11093.6229
299,15006.57945
300,2130.6759
301,10370.91255
302,11244.3769
303,13822.803
304,43813.8661
305,2457.21115
306,6196.448
307,26392.26029
308,16085.1275
309,33907.548
310,9432.9253
311,14007.222
312,2201.0971
313,5934.3798
314,10407.08585
315,4766.022
316,2155.6815
317,14319.031
318,1646.4297
319,2055.3249
320,9855.1314
321,9414.92
322,8891.1395
323,48970.2476
324,4906.40965
325,16450.8947
326,29523.1656
327,13770.0979
328,13451.122
329,38415.474
330,10043.249
331,5385.3379
332,13047.33235
333,14283.4594
334,21677.28345
335,25678.77845
336,9290.1395
337,21082.16
338,34166.273
339,19933.458
340,14382.70905
341,24873.3849
342,7045.499
343,13224.05705
344,6571.544
345,9630.397
346,8252.2843
347,37465.34375
348,2709.24395
349,9704.66805
350,47403.88
351,2643.2685
352,2585.269
353,8606.2174
354,14394.5579
355,1725.5523
356,3861.20965
357,6117.4945
358,6600.20595
359,6653.7886
360,4433.3877
361,40103.89
362,10577.087
363,46130.5265
364,2250.8352
365,5428.7277
366,2709.1119
367,2138.0707
368,7650.77375
369,27037.9141
370,3484.331
371,9541.69555
372,5257.50795
373,3171.6149
374,7639.41745
375,19144.57652
376,11657.7189
377,12982.8747
378,7804.1605
379,11763.0009
380,12638.195
381,1252.407
382,4337.7352
383,10982.5013
384,1631.8212
385,3591.48
386,3392.3652
387,15555.18875
388,6311.952
389,23967.38305
390,19107.7796
391,8978.1851
392,21259.37795
393,8782.469
394,4266.1658
395,43943.8761
396,3756.6216
397,12224.35085
398,1633.0444
399,7160.094
400,7050.642
401,11394.06555
402,1532.4697
403,4747.0529
404,22192.43711
405,29330.98315
406,23563.01618
407,4428.88785
408,7147.105
409,6686.4313
410,11015.1747
411,1526.312
412,28923.13692
413,2207.69745
414,12797.20962
415,14901.5167
416,11944.59435
417,10959.33
418,8547.6913
419,12363.547
420,9583.8933
421,20234.85475
422,40419.0191
423,12475.3513
424,5926.846
425,4399.731
426,15359.1045
427,1769.53165
428,21348.706
429,1744.465
430,36149.4835
431,11576.13
432,19964.7463
433,5080.096
434,8534.6718
435,6393.60345
436,17468.9839
437,6849.026
438,27322.73386
439,6389.37785
440,7348.142
441,1633.9618
442,2632.992
443,6113.23105
444,18033.9679
445,14001.2867
446,12741.16745
447,6457.8434
448,3378.91
449,44585.45587
450,2755.02095
451,35160.13457
452,23288.9284
453,3857.75925
454,8413.46305
455,10065.413
456,9800.8882
457,3213.62205
458,38709.176
459,2721.3208
460,16776.30405
